PostId,PostTypeId,CreationDate,UserId,Tags,Comments,ParentId,Acceptance,Upvotes,Downvotes,UserDate,LastAccess,Reputation,Badges,ViewCount,SourceId
1,1,2012-12-11T20:43:02.107,26,<discussion><allowed-topics>,2.0,,0.0,15.0,0.0,2012-12-11T20:35:43.000,2017-04-26T04:51:01.677,1309,14.0,293,anime.meta.stackexchange
3,1,2012-12-11T20:51:42.460,21,<discussion><allowed-topics>,1.0,,0.0,11.0,0.0,2012-12-11T20:29:31.000,2019-11-14T10:47:21.427,1135,11.0,231,anime.meta.stackexchange
6,1,2012-12-11T21:08:46.423,41,<discussion><allowed-topics>,,,0.0,12.0,0.0,2012-12-11T20:58:50.000,2013-01-20T23:19:19.383,564,8.0,482,anime.meta.stackexchange
10,1,2012-12-11T21:17:00.820,27,<discussion>,,,0.0,3.0,0.0,2012-12-11T20:35:51.000,2022-04-07T19:00:23.373,19254,61.0,181,anime.meta.stackexchange
11,1,2012-12-11T21:19:44.713,37,<discussion><allowed-topics>,3.0,,0.0,7.0,0.0,2012-12-11T20:56:45.000,2016-02-15T21:37:33.803,423,7.0,346,anime.meta.stackexchange
12,1,2012-12-11T21:20:58.093,20,<feature-request><status-declined>,1.0,,0.0,1.0,1.0,2012-12-11T20:28:02.000,2019-10-30T20:20:57.410,1131,17.0,78,anime.meta.stackexchange
13,1,2012-12-11T21:21:00.890,4,<discussion>,1.0,,0.0,6.0,0.0,2012-12-11T19:48:45.000,2013-02-25T15:22:49.210,101,12.0,113,anime.meta.stackexchange
18,1,2012-12-11T21:31:41.040,51,<feature-request><status-declined><tags>,1.0,,0.0,5.0,1.0,2012-12-11T21:12:27.000,2022-11-30T20:02:37.577,1378,16.0,169,anime.meta.stackexchange
21,1,2012-12-11T21:40:15.170,32,<discussion><allowed-topics><questions><asking-questions>,1.0,,0.0,16.0,0.0,2012-12-11T20:42:57.000,2014-02-20T10:26:16.510,522,7.0,825,anime.meta.stackexchange
24,1,2012-12-11T21:51:04.507,60,<discussion><allowed-topics>,,,0.0,3.0,0.0,2012-12-11T21:44:15.000,2013-02-25T15:19:02.907,243,8.0,43,anime.meta.stackexchange
25,1,2012-12-11T21:51:13.250,61,<discussion><tags>,,,0.0,6.0,2.0,2012-12-11T21:44:30.000,2021-12-27T18:55:21.410,3773,22.0,160,anime.meta.stackexchange
